                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0309,                0.89873,                 1.2669,                0.62658,                0.36211,                0.33184,                0.21538,                 1.3424,                0.99593,                 1.3261,             0.00086169,             0.00086169,             0.00086169
                     36,                 1.0256,                0.86116,                 1.2519,                0.69002,                0.34141,                0.33587,                0.21111,                 1.2985,                 1.0235,                 1.3071,             0.00085436,             0.00085436,             0.00085436
                     37,                 1.0207,                0.86184,                 1.2411,                0.72469,                0.31832,                0.31317,                0.19456,                 1.3321,                 1.1093,                 1.3733,             0.00084703,             0.00084703,             0.00084703
                     38,                  1.049,                0.89924,                 1.2557,                0.68117,                0.35659,                0.33483,                0.20873,                 1.3138,                0.97433,                 1.3004,             0.00083969,             0.00083969,             0.00083969
                     39,                 1.0303,                0.86311,                 1.2537,                0.64701,                0.34111,                0.32143,                0.20625,                 1.3168,                0.97167,                 1.3279,             0.00083236,             0.00083236,             0.00083236
                     40,                 1.0413,                0.87459,                 1.2559,                0.60458,                0.34178,                0.32719,                0.21146,                 1.3481,                0.97473,                 1.3275,             0.00082503,             0.00082503,             0.00082503
                     41,                 1.0303,                  0.879,                 1.2298,                0.60276,                0.35196,                0.32387,                0.20909,                  1.335,                 1.0036,                 1.3134,              0.0008177,              0.0008177,              0.0008177
                     42,                 1.0474,                0.84473,                 1.2304,                0.58136,                0.32968,                 0.3216,                0.21165,                 1.3413,                 1.0447,                 1.3201,             0.00081036,             0.00081036,             0.00081036
                     43,                 1.0266,                0.84723,                 1.2208,                0.61273,                0.36697,                0.35446,                0.22156,                 1.3259,                0.99726,                 1.2898,             0.00080303,             0.00080303,             0.00080303
                     44,                 1.0482,                0.86864,                 1.2399,                0.69841,                0.35305,                0.34697,                0.21605,                 1.3466,                 1.0204,                 1.3132,              0.0007957,              0.0007957,              0.0007957
                     45,                0.98924,                0.85995,                  1.205,                0.69637,                0.33468,                0.36609,                0.22773,                 1.3207,                0.96798,                 1.3055,             0.00078837,             0.00078837,             0.00078837
                     46,                 1.0233,                 0.8488,                 1.2116,                0.65039,                0.36366,                0.36891,                0.23045,                 1.2797,                0.96503,                  1.272,             0.00078103,             0.00078103,             0.00078103
                     47,                0.99941,                0.81767,                 1.1993,                0.63487,                0.37108,                0.37329,                0.22371,                 1.3222,                0.96267,                 1.3008,              0.0007737,              0.0007737,              0.0007737
                     48,                  1.025,                0.83084,                 1.2102,                0.60104,                0.42779,                 0.3809,                0.23588,                 1.3091,                0.94994,                 1.2939,             0.00076637,             0.00076637,             0.00076637
                     49,                0.99354,                0.80603,                 1.1972,                0.62178,                0.41605,                0.39233,                 0.2419,                 1.3079,                0.96346,                 1.2704,             0.00075904,             0.00075904,             0.00075904
                     50,                  1.009,                0.82209,                 1.1985,                 0.6961,                0.39488,                0.40422,                0.23987,                 1.3669,                0.98405,                 1.3056,              0.0007517,              0.0007517,              0.0007517
                     51,                  1.001,                0.82821,                 1.1869,                0.57686,                 0.4175,                0.37213,                0.23655,                 1.3468,                0.97879,                 1.2909,             0.00074437,             0.00074437,             0.00074437
                     52,                 1.0241,                0.81194,                 1.2072,                0.71379,                0.37578,                0.39328,                0.24744,                 1.3054,                0.94444,                 1.2877,             0.00073704,             0.00073704,             0.00073704
                     53,                 1.0188,                0.83076,                 1.2014,                0.67207,                0.41168,                0.40258,                0.25206,                 1.3309,                0.95374,                 1.2893,              0.0007297,              0.0007297,              0.0007297
                     54,                 1.0172,                0.83142,                  1.206,                0.66346,                 0.4121,                0.40742,                0.24734,                 1.3483,                 1.0045,                 1.2681,             0.00072237,             0.00072237,             0.00072237
                     55,                0.99851,                0.81698,                 1.1863,                0.72216,                0.41447,                 0.4057,                0.25245,                 1.3296,                0.97855,                 1.2661,             0.00071504,             0.00071504,             0.00071504
                     56,                0.98489,                0.79863,                 1.1761,                0.65823,                 0.4321,                0.40008,                0.25173,                 1.3407,                0.98578,                 1.2791,             0.00070771,             0.00070771,             0.00070771
                     57,                 1.0008,                0.80311,                 1.1945,                0.72029,                0.41774,                0.39663,                0.25135,                 1.3306,                0.99787,                 1.2711,             0.00070037,             0.00070037,             0.00070037
                     58,                  1.022,                 0.8196,                 1.1972,                0.65362,                0.38989,                0.38856,                0.24863,                 1.3302,                0.99036,                 1.2645,             0.00069304,             0.00069304,             0.00069304
                     59,                0.98061,                0.80015,                 1.1739,                0.67894,                0.42165,                0.39758,                0.25163,                  1.338,                0.96157,                  1.278,             0.00068571,             0.00068571,             0.00068571
                     60,                0.99349,                0.81309,                 1.1773,                0.68342,                0.40095,                0.40471,                0.25762,                 1.3131,                0.97972,                 1.2543,             0.00067838,             0.00067838,             0.00067838
                     61,                0.96814,                0.77458,                 1.1758,                0.62196,                0.39714,                0.39743,                0.25599,                 1.3386,                0.94269,                 1.2779,             0.00067104,             0.00067104,             0.00067104
                     62,                0.97804,                 0.7713,                 1.1789,                0.65779,                0.40768,                0.38636,                0.25011,                 1.3308,                 0.9616,                 1.2959,             0.00066371,             0.00066371,             0.00066371
                     63,                0.98204,                0.79282,                  1.184,                 0.6474,                0.42372,                0.40102,                0.25869,                 1.3299,                0.97548,                 1.2854,             0.00065638,             0.00065638,             0.00065638
